ID,Temp,Phase,pH,Replicate,GrowthCurves,GDGT.0,GDGT.1,GDGT.2,GDGT.3,GDGT.4,GDGT.Cren,GDGT.Cren.',GDGT.5,GDGT.6,GDGT.7,GDGT.8,RI
1,28,EG,7.5,OD1,"list(-2209075200, -2208988800, -2208902400, -2208816000, -2208729600, -2208556800) / list(0.0238399458857627, 0.0324678760516286, 0.0465863072321365, 0.0677639540028983, 0.121884606861512, 0.299933711193472)",18,9.9,11.5,3.7,0.3,55.9,0.7,0,0,0,0,3.282
2,28,LG,7.5,OD1,"list(-2209075200, -2208988800, -2208902400, -2208816000, -2208729600, -2208556800, -2208384000, -2208211200) / list(0.0261930177491806, 0.0363896624906586, 0.0567829519736144, 0.0850198143346301, 0.163455543115229, 0.401115801320445, 0.653678847993975, 0.881142461457713)",15.1,10.3,19.2,3.5,3,48.3,0.7,0,0,0,0,3.162
3,28,ES,7.5,OD1,"list(-2209075200, -2208808800, -2208639600, -2208546000, -2208438000, -2208366000, -2208279600, -2208204000, -2208106800, -2208031200, -2207941200, -2207862000, -2207624400, -2207556000) / list(0.0291049223534308, 0.0953545395741763, 0.273416751867089, 0.371089112433643, 0.514586307046166, 0.592095740632493, 0.698671211813692, 0.795558003796601, 0.946910884245577, 1.06448431559781, 1.13989889962775, 1.23730940399975, 1.50963984633009, 1.52535121800299)",14.2,11.2,24.3,7.4,3.8,38.2,0.9,0,0,0,0,2.927
4,28,LS,7.5,OD1,"list(-2209075200, -2208988800, -2208902400, -2208816000, -2208729600, -2208556800, -2208384000, -2208211200, -2208038400, -2207865600, -2207692800, -2207606400, -2207520000, -2207174400, -2206828800, -2206569600, -2206310400, -2206051200, -2205964800) / list(0.0261930177491806, 0.0363896624906586, 0.0559985946858084, 0.0763918841687642, 0.133649966178602, 0.323464429827652, 0.583086692091436, 0.789372658784412, 1.03173906071646, 1.19017923285327, 1.54000258321475, 1.5596115154099, 1.55255229981964, 1.60118245166361, 1.58706402048311, 1.62314445572218, 1.599613737088, 1.54784615609281, 1.55098358524403)",12.7,9.6,24.5,3.5,1.5,47.5,0.7,0,0,0,0,3.161
